,neg_sent,neu_sent,pos_sent
1047,0.049,0.842,0.109
1048,0.045,0.822,0.133
1049,0.013,0.802,0.185
1050,0.019,0.833,0.148
1051,0.033,0.856,0.111
1052,0.015,0.835,0.15
1053,0.014,0.824,0.162
1054,0.021,0.831,0.148
1055,0.019,0.829,0.152
1056,0.018,0.803,0.179
1057,0.033,0.797,0.17
1058,0.02,0.828,0.152
1059,0.031,0.814,0.155
1060,0.024,0.848,0.128
1061,0.017,0.794,0.188
1062,0.019,0.825,0.156
1063,0.016,0.823,0.161
1064,0.019,0.843,0.138
1065,0.015,0.815,0.171
1066,0.016,0.83,0.154
1067,0.014,0.822,0.164
1068,0.033,0.823,0.144
1069,0.024,0.814,0.162
1070,0.035,0.836,0.129
1071,0.026,0.841,0.133
1072,0.018,0.829,0.153
1073,0.026,0.854,0.12
1074,0.015,0.778,0.207
1075,0.025,0.818,0.157
1076,0.036,0.827,0.137
1077,0.02,0.834,0.146
1078,0.015,0.825,0.16
1079,0.021,0.852,0.127
1080,0.014,0.817,0.17
1081,0.029,0.814,0.157
1082,0.023,0.867,0.11
1083,0.02,0.849,0.131
1084,0.019,0.83,0.151
1085,0.025,0.874,0.101
1086,0.019,0.823,0.158
1087,0.018,0.834,0.148
1088,0.011,0.858,0.131
1089,0.03,0.819,0.151
1090,0.024,0.799,0.176
1091,0.026,0.845,0.129
1092,0.014,0.863,0.124
1093,0.011,0.865,0.123
1094,0.03,0.848,0.121
1095,0.021,0.825,0.155
1096,0.025,0.84,0.136
1097,0.021,0.831,0.148
1098,0.019,0.857,0.124
1099,0.019,0.811,0.17
1100,0.036,0.848,0.116
1101,0.023,0.826,0.151
1102,0.025,0.82,0.155
1103,0.022,0.842,0.136
1104,0.03,0.812,0.158
1105,0.018,0.849,0.133
1106,0.014,0.875,0.111
1107,0.019,0.852,0.129
1108,0.026,0.843,0.131
1109,0.013,0.828,0.159
1110,0.022,0.831,0.146
1111,0.022,0.831,0.146
1112,0.02,0.806,0.174
1113,0.011,0.861,0.128
1114,0.025,0.807,0.168
1115,0.023,0.787,0.191
1116,0.02,0.842,0.138
1117,0.016,0.837,0.147
1118,0.022,0.832,0.146
1119,0.026,0.817,0.157
1120,0.022,0.872,0.106
1121,0.034,0.83,0.136
1122,0.026,0.841,0.133
1123,0.019,0.8,0.182
1124,0.025,0.887,0.088
1125,0.011,0.798,0.191
1126,0.021,0.837,0.142
1127,0.023,0.829,0.147
1128,0.017,0.813,0.17
1129,0.035,0.833,0.132
1130,0.032,0.856,0.113
1131,0.047,0.854,0.098
1132,0.035,0.831,0.134
1133,0.02,0.837,0.143
1134,0.022,0.836,0.142
1135,0.026,0.814,0.161
1136,0.012,0.846,0.142
1137,0.018,0.834,0.149
1138,0.009,0.834,0.157
1139,0.008,0.767,0.225
1140,0.01,0.874,0.116
1141,0.016,0.848,0.136
1142,0.023,0.852,0.125
1143,0.024,0.814,0.161
1144,0.008,0.815,0.177
1145,0.023,0.845,0.132
1146,0.017,0.836,0.147
1147,0.015,0.851,0.133
1148,0.012,0.807,0.18
1149,0.017,0.798,0.186
1150,0.02,0.848,0.132
1151,0.022,0.833,0.145
1152,0.027,0.883,0.09
1153,0.03,0.837,0.133
1154,0.026,0.816,0.159
1155,0.022,0.824,0.153
1156,0.017,0.841,0.142
1157,0.022,0.862,0.115
1158,0.031,0.848,0.122
1159,0.013,0.855,0.132
1160,0.015,0.84,0.145
1161,0.027,0.829,0.144
1162,0.028,0.888,0.085
1163,0.031,0.821,0.149
1164,0.016,0.855,0.13
1165,0.024,0.848,0.128
1166,0.033,0.826,0.141
1167,0.026,0.858,0.116
1168,0.033,0.814,0.153
1169,0.036,0.83,0.134
1170,0.027,0.842,0.131
1171,0.025,0.844,0.131
1172,0.038,0.827,0.135
1173,0.02,0.847,0.133
1174,0.018,0.855,0.126
1175,0.015,0.818,0.168
1176,0.018,0.853,0.129
1177,0.025,0.838,0.138
1178,0.016,0.828,0.156
1179,0.015,0.845,0.14
1180,0.024,0.819,0.157
1181,0.024,0.793,0.183
1182,0.031,0.855,0.114
1183,0.02,0.85,0.13
1184,0.026,0.817,0.157
1185,0.018,0.834,0.148
1186,0.028,0.846,0.126
1187,0.026,0.83,0.144
1188,0.023,0.785,0.193
1189,0.028,0.869,0.104
1190,0.025,0.82,0.155
1191,0.021,0.84,0.139
1192,0.021,0.815,0.165
1193,0.013,0.81,0.177
1194,0.021,0.836,0.143
1195,0.026,0.842,0.131
1196,0.016,0.846,0.138
1197,0.014,0.813,0.173
1198,0.02,0.849,0.131
1199,0.025,0.815,0.16
1200,0.026,0.824,0.15
1201,0.01,0.852,0.138
1202,0.006,0.844,0.15
1203,0.012,0.88,0.108
1204,0.021,0.83,0.149
1205,0.017,0.83,0.152
1206,0.028,0.85,0.122
1207,0.041,0.828,0.13
1208,0.025,0.82,0.156
1209,0.024,0.824,0.152
1210,0.04,0.839,0.12
1211,0.023,0.806,0.171
1212,0.013,0.847,0.14
1213,0.018,0.822,0.159
1214,0.017,0.867,0.116
1215,0.019,0.826,0.156
1216,0.027,0.832,0.141
1217,0.011,0.876,0.113
1218,0.019,0.842,0.139
1219,0.014,0.85,0.136
1220,0.022,0.813,0.164
1221,0.026,0.849,0.126
1222,0.028,0.803,0.169
1223,0.011,0.848,0.141
1224,0.02,0.786,0.194
1225,0.035,0.81,0.154
1226,0.022,0.827,0.151
1227,0.012,0.834,0.153
1228,0.018,0.819,0.163
1229,0.021,0.857,0.122
1230,0.027,0.786,0.187
1231,0.024,0.849,0.127
1232,0.03,0.828,0.142
1233,0.022,0.812,0.166
1234,0.031,0.823,0.146
1235,0.023,0.875,0.103
1236,0.013,0.867,0.12
1237,0.02,0.83,0.15
1238,0.02,0.802,0.177
1239,0.022,0.831,0.147
1240,0.028,0.867,0.105
1241,0.018,0.866,0.115
1242,0.019,0.81,0.171
1243,0.017,0.858,0.125
1244,0.022,0.827,0.151
1245,0.019,0.792,0.19
1246,0.039,0.838,0.124
1247,0.025,0.805,0.17
1248,0.014,0.881,0.105
1249,0.01,0.861,0.129
1250,0.018,0.808,0.174
1251,0.033,0.798,0.169
1252,0.016,0.823,0.161
1253,0.014,0.829,0.157
1254,0.024,0.844,0.132
1255,0.019,0.834,0.147
1256,0.017,0.827,0.156
1257,0.023,0.803,0.175
1258,0.017,0.825,0.159
1259,0.018,0.82,0.162
1260,0.014,0.813,0.173
1261,0.018,0.845,0.137
1262,0.021,0.844,0.135
1263,0.006,0.855,0.139
1264,0.022,0.852,0.127
1265,0.033,0.811,0.156
1266,0.024,0.827,0.149
1267,0.021,0.847,0.131
1268,0.033,0.808,0.16
1269,0.019,0.8,0.181
1270,0.02,0.858,0.122
1271,0.018,0.859,0.123
1272,0.016,0.832,0.151
1273,0.023,0.846,0.131
1274,0.018,0.845,0.138
1275,0.01,0.823,0.167
1276,0.019,0.823,0.158
1277,0.015,0.873,0.111
1278,0.013,0.827,0.16
1279,0.018,0.786,0.196
1280,0.024,0.818,0.158
1281,0.016,0.828,0.156
1282,0.014,0.833,0.153
1283,0.033,0.817,0.15
1284,0.02,0.854,0.126
1285,0.024,0.829,0.147
1286,0.014,0.833,0.153
1287,0.038,0.856,0.107
1288,0.023,0.841,0.136
1289,0.017,0.856,0.127
1290,0.007,0.843,0.151
1291,0.02,0.853,0.127
