,Topic0,Topic1,Topic2,Topic3,dominant_topic,merge_col
Doc1329,0.33,0.02,0.64,0.02,2,1332
Doc1330,0.95,0.02,0.02,0.02,0,1333
Doc1331,0.02,0.02,0.95,0.02,2,1334
Doc1332,0.96,0.01,0.01,0.01,0,1335
Doc1333,0.02,0.01,0.96,0.01,2,1336
Doc1334,0.96,0.01,0.01,0.01,0,1337
Doc1335,0.94,0.02,0.02,0.02,0,1338
Doc1336,0.36,0.01,0.61,0.01,2,1339
Doc1337,0.02,0.02,0.95,0.02,2,1340
Doc1338,0.95,0.02,0.02,0.02,0,1341
Doc1339,0.02,0.02,0.95,0.02,2,1342
Doc1340,0.96,0.01,0.01,0.01,0,1343
Doc1341,0.31,0.01,0.67,0.01,2,1344
Doc1342,0.94,0.02,0.02,0.02,0,1345
Doc1343,0.02,0.01,0.96,0.01,2,1346
Doc1344,0.02,0.01,0.96,0.01,2,1347
Doc1345,0.02,0.02,0.94,0.02,2,1348
Doc1346,0.02,0.01,0.95,0.01,2,1349
Doc1347,0.02,0.02,0.94,0.02,2,1350
Doc1348,0.96,0.01,0.02,0.01,0,1351
Doc1349,0.94,0.02,0.02,0.02,0,1352
Doc1350,0.95,0.02,0.02,0.02,0,1353
Doc1351,0.94,0.02,0.02,0.02,0,1354
Doc1352,0.2,0.02,0.77,0.02,2,1355
Doc1353,0.96,0.01,0.01,0.01,0,1356
Doc1354,0.96,0.01,0.01,0.01,0,1357
Doc1355,0.95,0.02,0.02,0.02,0,1358
Doc1356,0.93,0.02,0.03,0.02,0,1359
Doc1357,0.95,0.01,0.02,0.01,0,1360
Doc1358,0.95,0.02,0.02,0.02,0,1361
Doc1359,0.46,0.01,0.51,0.01,2,1362
Doc1360,0.96,0.01,0.01,0.01,0,1363
Doc1361,0.95,0.02,0.02,0.02,0,1364
Doc1362,0.95,0.02,0.02,0.02,0,1365
Doc1363,0.35,0.01,0.62,0.01,2,1366
Doc1364,0.02,0.02,0.95,0.02,2,1367
Doc1365,0.95,0.02,0.02,0.02,0,1368
Doc1366,0.93,0.02,0.02,0.02,0,1369
Doc1367,0.96,0.01,0.02,0.01,0,1370
Doc1368,0.02,0.02,0.95,0.02,2,1371
Doc1369,0.96,0.01,0.01,0.01,0,1372
Doc1370,0.95,0.02,0.02,0.02,0,1373
Doc1371,0.95,0.02,0.02,0.02,0,1374
Doc1372,0.49,0.02,0.48,0.02,0,1375
Doc1373,0.02,0.01,0.95,0.01,2,1376
Doc1374,0.95,0.02,0.02,0.02,0,1377
Doc1375,0.96,0.01,0.01,0.01,0,1378
Doc1376,0.02,0.01,0.96,0.01,2,1379
Doc1377,0.29,0.02,0.68,0.02,2,1380
Doc1378,0.37,0.01,0.6,0.01,2,1381
Doc1379,0.02,0.01,0.95,0.01,2,1382
Doc1380,0.94,0.02,0.02,0.02,0,1383
Doc1381,0.02,0.01,0.95,0.01,2,1384
Doc1382,0.96,0.01,0.02,0.01,0,1385
Doc1383,0.93,0.02,0.02,0.02,0,1386
Doc1384,0.95,0.02,0.02,0.02,0,1387
Doc1385,0.95,0.02,0.02,0.02,0,1388
Doc1386,0.96,0.01,0.01,0.01,0,1389
Doc1387,0.02,0.01,0.96,0.01,2,1390
Doc1388,0.96,0.01,0.01,0.01,0,1391
Doc1389,0.95,0.02,0.02,0.02,0,1392
Doc1390,0.91,0.03,0.03,0.03,0,1393
Doc1391,0.02,0.01,0.95,0.01,2,1394
Doc1392,0.96,0.01,0.01,0.01,0,1395
Doc1393,0.94,0.02,0.02,0.02,0,1396
Doc1394,0.02,0.01,0.95,0.01,2,1397
Doc1395,0.02,0.02,0.94,0.02,2,1398
Doc1396,0.95,0.02,0.02,0.02,0,1399
Doc1397,0.02,0.01,0.96,0.01,2,1400
Doc1398,0.02,0.01,0.95,0.01,2,1401
Doc1399,0.41,0.01,0.57,0.01,2,1402
Doc1400,0.95,0.02,0.02,0.02,0,1403
Doc1401,0.02,0.01,0.95,0.01,2,1404
Doc1402,0.96,0.01,0.02,0.01,0,1405
Doc1403,0.95,0.02,0.02,0.02,0,1406
Doc1404,0.95,0.02,0.02,0.02,0,1407
Doc1405,0.94,0.02,0.02,0.02,0,1408
Doc1406,0.95,0.01,0.02,0.01,0,1409
Doc1407,0.95,0.01,0.02,0.01,0,1410
Doc1408,0.02,0.02,0.95,0.02,2,1411
Doc1409,0.02,0.02,0.94,0.02,2,1412
Doc1410,0.02,0.01,0.95,0.01,2,1413
Doc1411,0.96,0.01,0.01,0.01,0,1414
Doc1412,0.02,0.02,0.95,0.02,2,1415
Doc1413,0.96,0.01,0.02,0.01,0,1416
Doc1414,0.02,0.02,0.95,0.02,2,1417
Doc1415,0.02,0.02,0.95,0.02,2,1418
Doc1416,0.96,0.01,0.01,0.01,0,1419
Doc1417,0.95,0.01,0.02,0.01,0,1420
Doc1418,0.96,0.01,0.01,0.01,0,1421
Doc1419,0.02,0.02,0.94,0.02,2,1422
Doc1420,0.93,0.02,0.03,0.02,0,1423
Doc1421,0.95,0.02,0.02,0.02,0,1424
Doc1422,0.02,0.01,0.95,0.01,2,1425
Doc1423,0.96,0.01,0.01,0.01,0,1426
Doc1424,0.93,0.02,0.02,0.02,0,1427
Doc1425,0.02,0.01,0.96,0.01,2,1428
Doc1426,0.95,0.02,0.02,0.02,0,1429
Doc1427,0.22,0.01,0.76,0.01,2,1430
Doc1428,0.96,0.01,0.02,0.01,0,1431
Doc1429,0.02,0.02,0.95,0.02,2,1432
Doc1430,0.96,0.01,0.02,0.01,0,1433
Doc1431,0.19,0.01,0.78,0.01,2,1434
Doc1432,0.96,0.01,0.02,0.01,0,1435
Doc1433,0.09,0.01,0.88,0.01,2,1436
Doc1434,0.3,0.01,0.67,0.01,2,1437
Doc1435,0.95,0.02,0.02,0.02,0,1438
Doc1436,0.95,0.02,0.02,0.02,0,1439
Doc1437,0.02,0.02,0.94,0.02,2,1440
Doc1438,0.96,0.01,0.01,0.01,0,1441
Doc1439,0.96,0.01,0.01,0.01,0,1443
Doc1440,0.95,0.01,0.02,0.01,0,1444
Doc1441,0.33,0.02,0.63,0.02,2,1445
Doc1442,0.96,0.01,0.02,0.01,0,1447
Doc1443,0.96,0.01,0.01,0.01,0,1448
Doc1444,0.25,0.01,0.72,0.01,2,1452
Doc1445,0.02,0.01,0.96,0.01,2,1456
Doc1446,0.95,0.01,0.02,0.01,0,1461
Doc1447,0.02,0.02,0.95,0.02,2,1462
Doc1448,0.95,0.02,0.02,0.02,0,1463
